originalid,motherage,parentincome,fatherhighgrade,motherhighgrade
1211,19,-3,-3,11
1212,23,-3,-3,11
1213,24,-3,-3,11
1214,-3,-3,-3,11
1215,25,-4,-3,11
1216,27,-4,-3,11
1217,18,44600,-3,11
1218,21,55000,-4,12
1219,19,-3,-3,12
1220,30,-3,-3,12
1221,22,-4,-3,12
1222,19,12600,16,13
1223,20,52180,10,15
1224,18,4441,-3,12
1225,25,-3,12,13
1226,23,-3,12,15
1227,36,246474,20,16
1228,30,100500,14,14
1229,25,65000,14,14
1230,29,99500,12,16
1231,30,246474,18,17
1232,32,246474,18,17
1233,40,246474,18,18
1234,28,83500,17,16
1235,29,83500,16,16
1236,34,154500,13,13
1237,28,116250,14,19
1238,23,129250,12,14
1239,25,246474,16,20
1240,31,95500,18,16
1241,25,246474,14,12
1242,26,79500,18,16
1243,34,140350,20,20
1244,29,246474,20,16
1245,24,-3,13,16
1246,28,47300,17,17
1247,30,47300,17,17
1248,32,47300,17,17
1249,25,246474,16,14
1250,27,246474,16,14
1251,32,74250,16,16
1252,35,74250,-3,14
1253,32,50050,16,14
1254,41,-4,16,16
1255,21,-4,13,10
1256,24,-4,13,10
1257,20,65000,12,11
1258,17,36000,-4,13
1259,19,36000,-4,13
1260,32,40192,10,12
1261,19,65000,13,12
1262,22,65000,13,12
1263,28,27300,14,14
1264,24,40100,11,12
1265,23,88060,12,13
1266,19,-4,9,12
1267,26,246474,16,14
1268,25,34000,12,13
1269,27,34000,12,13
1270,24,60500,16,13
1271,26,-4,10,11
1272,23,57000,-3,12
1273,29,-3,12,13
1274,27,-4,12,12
1275,18,41000,12,11
1276,24,22750,12,-3
1277,26,-4,12,-3
1278,26,69750,13,12
1279,26,69750,13,12
1280,28,43400,3,10
1281,22,63000,12,13
1282,28,76000,12,12
1283,30,76000,12,12
1284,22,-3,14,-3
1285,35,-3,20,12
1286,32,-3,19,16
1287,31,13750,12,11
1288,27,82230,16,17
1289,25,246474,16,16
1290,29,-3,18,16
1291,33,154500,16,13
1292,33,108000,15,15
1293,26,63550,13,12
1294,32,246474,16,16
1295,34,246474,16,18
1296,28,-4,18,17
1297,32,-3,18,16
1298,32,86000,-3,17
1299,39,20350,16,16
1300,41,20350,16,16
1301,29,39250,15,12
1302,36,109700,14,12
1303,39,109700,14,12
1304,25,49200,12,19
1305,27,49200,12,19
1306,27,65300,13,13
1307,30,65300,13,13
1308,28,51750,16,17
1309,31,54736,14,15
1310,21,22500,11,14
1311,30,246474,-4,12
1312,33,80500,15,14
1313,35,80500,15,14
1314,21,47250,12,16
1315,27,65000,2,12
1316,30,65000,2,12
1317,30,59000,10,12
1318,23,34200,12,10
1319,19,28000,11,12
1320,30,58875,14,13
1321,32,58875,14,13
1322,25,49700,18,14
1323,33,81265,13,14
1324,17,17920,12,12
1325,27,40000,20,16
1326,22,32000,9,12
1327,20,36900,12,12
1328,36,18000,10,14
1329,26,19200,12,12
1330,31,162500,18,17
1331,26,-3,18,16
1332,29,-4,16,12
1333,32,-4,16,12
1334,30,246474,20,18
1335,29,246474,18,16
1336,33,246474,18,16
1337,27,157500,16,16
1338,33,-3,16,15
1339,29,39250,17,13
1340,33,39250,17,13
1341,28,-3,19,18
1342,23,83130,12,12
1343,21,92000,16,16
1344,24,92000,16,16
1345,27,57000,16,17
1346,-3,33000,13,14
1347,23,72000,14,12
1348,25,43500,16,12
1349,32,50576,18,16
1350,19,16000,5,10
1351,28,0,4,-3
1352,30,0,4,-3
1353,31,0,4,-3
1354,23,-3,-4,-3
1355,23,65000,-3,-3
1356,19,-3,5,4
1357,21,-3,5,4
1358,23,-3,5,4
1359,29,11850,15,13
1360,32,103750,16,12
1361,33,103750,16,12
1362,32,55000,18,20
1363,30,-3,-3,15
1364,25,-3,10,12
1365,27,-3,-3,3
1366,18,-3,12,12
1367,26,51512,12,14
1368,27,42000,9,12
1369,23,58300,12,13
1370,29,91000,16,16
1371,25,40500,16,16
1372,27,40500,16,16
1373,24,75500,16,12
1374,20,26750,9,12
1375,20,26750,-3,8
1376,20,70000,-4,16
1377,23,35500,12,12
1378,28,-3,-3,12
1379,29,-3,-3,12
1380,21,62000,12,12
1381,20,42400,12,12
1382,26,75500,12,18
1383,-3,35500,11,14
1384,27,7500,-3,12
1385,25,0,-3,12
1386,24,65700,-3,12
1387,25,-3,-3,12
1388,-3,-3,-3,12
1389,33,-3,-3,9
1390,26,-3,11,11
1391,29,-3,4,5
1392,26,-3,5,4
1393,30,-3,5,4
1394,21,-3,12,12
1395,27,42040,-3,12
1396,-3,42040,-3,12
1397,24,-3,-3,-3
1398,22,-3,12,12
1399,-3,9270,11,13
1400,21,25640,-4,12
1401,24,25640,-4,12
1402,31,47900,14,12
1403,24,33200,15,12
1404,26,33200,15,12
1405,19,4574,12,12
1406,30,141000,12,12
1407,29,93000,18,14
1408,30,-3,16,12
1409,-3,84300,-3,-3
1410,22,71600,18,16
1411,27,97400,17,20
1412,29,97400,17,20
1413,22,51800,12,13
1414,27,-3,14,12
1415,21,37500,10,12
1416,22,-3,12,12
1417,21,55500,11,11
1418,16,13750,12,12
1419,34,7300,9,12
1420,34,7300,9,12
1421,34,111750,20,18
1422,25,-3,12,16
1423,32,-3,15,12
1424,21,-3,-4,12
1425,-3,-4,12,-4
1426,-3,-3,-4,-4
1427,-3,-4,12,-4
1428,-3,-3,-4,12
1429,24,156000,16,14
1430,25,156000,16,14
1431,23,101300,18,18
1432,25,101300,18,18
1433,27,101300,18,18
1434,31,-4,20,12
1435,23,73600,12,13
1436,24,73600,12,13
1437,26,32717,14,12
1438,23,63750,18,20
1439,30,75100,12,14
1440,24,56160,20,10
1441,22,58000,12,6
1442,23,58000,12,6
1443,24,58000,12,6
1444,26,107500,16,14
1445,24,59000,16,16
1446,27,59000,16,16
1447,28,98200,16,14
1448,-3,50000,-4,-4
1449,31,133500,16,17
1450,34,158000,19,17
1451,28,-4,18,14
1452,24,62100,16,16
1453,27,131000,18,16
1454,25,246474,20,17
1455,28,246474,20,17
1456,34,110000,10,16
1457,26,93000,20,16
1458,29,69200,16,16
1459,33,69200,16,16
1460,28,75100,16,16
1461,29,-4,16,16
1462,32,-4,16,16
1463,35,-4,18,14
1464,28,91900,17,16
1465,29,52000,12,12
1466,29,-3,16,16
1467,26,-3,12,12
1468,28,20000,12,12
1469,27,25896,12,12
1470,-3,33866,14,15
1471,-3,33866,14,15
1472,-3,-3,-4,14
1473,34,44300,16,18
1474,24,60007,13,14
1475,27,60007,13,14
1476,24,135010,14,12
1477,27,135010,14,12
1478,19,37000,12,12
1479,24,51400,12,12
1480,26,51400,12,12
1481,26,12324,12,12
1482,30,28000,12,12
1483,27,37500,4,2
1484,23,75126,13,13
1485,26,75126,13,13
1486,33,85860,18,14
1487,30,94100,20,16
1488,28,135750,16,16
1489,30,135750,16,16
1490,31,246474,18,17
1491,30,61050,13,12
1492,31,141076,16,16
1493,26,70200,16,16
1494,28,92058,12,14
1495,26,126400,17,17
1496,27,126400,17,17
1497,31,-4,20,16
1498,33,-3,20,16
1499,32,82550,16,16
1500,22,71000,12,13
1501,31,-4,19,16
1502,35,80000,12,12
1503,22,64050,12,15
1504,25,64050,-3,15
1505,19,-4,-3,6
1506,21,-3,12,11
1507,26,-3,12,12
1508,-3,12000,-4,-3
1509,24,-4,-3,-3
1510,25,44100,14,12
1511,26,44100,14,12
1512,29,44100,14,12
1513,29,44100,14,12
1514,28,-4,16,18
1515,36,66000,-3,-3
1516,36,-3,17,14
1517,39,-4,17,14
1518,25,75500,-3,-3
1519,-3,246474,-3,-3
1520,32,52500,-3,-3
1521,23,-4,-3,-3
1522,28,-3,-3,-3
1523,28,41750,-3,-3
1524,31,11000,-4,-3
1525,27,29276,-4,12
1526,23,40000,-3,-3
1527,19,6420,-4,-3
1528,15,8270,-4,-3
1529,18,8270,-4,-3
1530,31,149250,18,17
1531,34,149250,18,17
1532,-3,42415,-3,-3
1533,31,-3,18,16
1534,21,20280,6,12
1535,23,20280,6,12
1536,28,-4,6,3
1537,16,-4,12,12
1538,24,130500,15,13
1539,25,65610,-3,12
1540,24,39250,-3,10
1541,27,68800,12,12
1542,25,-3,14,14
1543,22,54500,16,12
1544,24,54500,16,12
1545,29,53000,12,12
1546,30,53000,12,12
1547,28,54500,9,14
1548,30,54500,9,14
1549,31,54500,9,14
1550,-3,69750,-4,-4
1551,23,89900,12,14
1552,27,89900,12,14
1553,23,8500,11,12
1554,26,8500,11,12
1555,-3,27900,12,12
1556,-3,69300,19,16
1557,31,69300,19,16
1558,20,15600,11,12
1559,24,41000,11,12
1560,22,34500,9,11
1561,-3,24000,13,12
1562,15,42000,-3,9
1563,19,55000,-3,12
1564,26,14455,-3,12
1565,26,29600,12,14
1566,25,-3,-3,9
1568,19,45000,12,-3
1569,24,22500,5,7
1570,20,-3,6,6
1571,21,-3,6,6
1572,25,-3,16,13
1573,23,-3,16,12
1574,19,45800,15,13
1575,25,-3,16,12
1576,21,84012,10,12
1577,26,84012,10,12
1578,33,-48100,12,13
1579,26,-4,12,12
1580,17,34500,12,12
1581,35,-3,20,12
1582,32,17000,16,12
1583,18,-4,12,10
1584,20,-4,12,10
1585,-3,-4,12,10
1586,20,18000,16,15
1587,23,22408,8,12
1588,24,22408,8,12
1589,24,-3,-3,6
1590,26,40300,15,12
1591,26,-4,-4,10
1592,33,105050,16,16
1593,35,-4,16,16
1594,27,53300,16,16
1595,29,53300,16,16
1596,20,23000,12,12
1597,24,-4,-3,12
1598,22,24000,6,9
1599,23,24000,6,9
1600,21,-4,-3,-3
1601,18,-3,12,11
1602,20,-3,12,11
1603,26,-4,-4,6
1604,28,-4,14,14
1605,31,-4,14,14
1606,30,1500,6,14
1607,18,3000,8,-3
1608,20,-4,19,11
1609,23,-4,19,11
1610,32,-3,15,16
1611,32,-3,15,16
1612,33,-3,14,16
1613,27,-4,19,17
1614,36,246474,19,16
1615,30,-3,12,12
1616,26,80000,12,12
1617,32,93000,14,16
1618,-3,39500,12,-4
1619,26,-3,14,12
1620,29,-3,14,12
1621,23,-3,14,14
1622,34,65000,19,18
1623,37,129700,16,16
1624,31,246474,18,15
1625,19,35560,9,12
1626,22,35560,9,12
1627,18,9308,-3,11
1628,20,9308,-3,11
1629,32,58700,17,18
1630,38,37200,12,12
1631,28,55000,14,16
1632,32,82000,14,13
1633,33,119651,12,14
1634,37,119651,12,14
1635,29,93000,18,14
1636,33,-3,16,12
1637,20,-3,-3,8
1638,31,117950,18,12
1639,24,70199,12,12
1640,31,71000,12,14
1641,32,71000,-3,14
1642,35,246474,20,18
1643,31,24400,12,13
1644,36,-3,-3,14
1645,31,114950,16,-3
1646,28,105500,12,14
1647,25,76681,7,13
1648,17,31358,-4,11
1649,29,67000,14,12
1650,20,-4,12,13
1651,22,59000,14,11
1652,28,94993,14,12
1653,29,85595,16,16
1654,33,84500,16,12
1655,28,29500,16,12
1656,28,35880,16,16
1657,-3,7500,-4,-3
1658,20,-3,9,11
1659,28,83600,14,12
1660,37,246474,16,16
1661,32,114200,20,14
1662,22,11900,11,9
1663,25,52000,11,10
1664,20,-4,-3,10
1665,19,16000,-3,10
1666,23,25000,10,10
1667,34,-4,-3,4
1668,16,20000,-4,-3
1669,34,68970,16,14
1670,28,246474,18,14
1671,29,246474,18,14
1672,31,246474,18,14
1673,23,93000,12,16
1674,24,-4,15,18
1675,26,-4,15,18
1676,24,97000,16,18
1677,25,97000,16,18
1678,30,-4,-3,-3
1679,37,-3,16,12
1680,28,246474,16,17
1681,34,23300,12,13
1682,32,150000,16,16
1683,34,-3,-3,12
1684,35,-3,-3,12
1685,28,-4,16,16
1686,30,-3,17,17
1687,33,139500,16,18
1688,36,139500,16,18
1689,22,28000,9,12
1690,31,73500,12,-3
1691,31,73500,12,-3
1692,23,60000,12,12
1693,25,139000,16,12
1694,23,122000,12,14
1695,25,122000,12,14
1696,24,58000,12,11
1697,27,74000,13,16
1698,28,110600,14,17
1699,30,110600,14,17
1700,24,-4,12,12
1701,26,-4,12,12
1702,35,-3,12,13
1703,32,27500,12,12
1704,34,27500,12,12
1705,17,4020,10,9
1706,20,4020,-3,9
1707,23,-4,13,12
1708,25,12000,12,13
1709,24,69100,20,13
1710,22,69100,15,12
1711,18,-4,12,12
1712,21,-4,13,12
1713,30,54000,13,16
1714,-3,15000,-3,2
1715,24,28200,-3,12
1716,25,28200,-3,12
1717,28,28200,-3,12
1718,19,-3,-4,-3
1719,20,-3,2,-3
1720,21,30776,10,11
1721,18,-3,-3,7
1722,27,24000,8,7
1723,25,-3,-3,-3
1724,21,-3,-3,2
1725,29,1200,9,10
1726,30,1200,9,10
1727,22,11674,12,10
1728,17,-3,-3,-3
1729,19,-3,-3,-3
1730,18,29386,-3,12
1731,28,13808,-3,12
1732,17,-4,12,10
1733,22,52000,14,9
1734,16,-4,12,12
1735,31,39600,12,14
1736,35,39600,12,14
1737,22,37900,11,14
1738,22,37900,11,14
1739,21,39500,12,12
1740,18,-3,12,10
1741,19,-3,12,10
1742,34,-3,12,15
1743,34,-3,12,15
1744,19,50500,13,12
1745,32,-4,-4,12
1746,24,70000,12,12
1747,23,15880,10,12
1748,-3,33000,16,15
1749,-3,-4,16,-4
1750,22,-3,12,12
1751,24,34200,15,12
1752,37,150000,19,16
1753,35,52800,18,18
1754,18,54000,16,15
1755,34,50501,14,16
1756,23,70000,16,16
1757,25,70000,16,16
1758,23,153100,15,20
1759,22,3600,16,16
1760,-3,-3,12,-3
1761,-3,-4,12,-3
1762,-3,-4,12,-3
1763,-3,-4,12,-3
1764,-3,-3,-4,-4
1765,21,19000,-4,12
1766,24,-3,16,9
1767,-3,-3,-4,-3
1768,23,44000,12,12
1769,25,44000,12,12
1770,23,15500,14,13
1771,19,66900,-4,13
1772,21,50000,16,14
1773,23,50000,16,14
1774,31,72370,14,16
1775,27,-4,12,12
1776,28,70100,12,16
1777,31,35500,16,14
1778,26,43500,12,13
1779,28,43500,12,13
1780,20,-3,12,12
1781,25,85000,15,16
1782,23,-4,12,12
1783,35,53000,14,12
1784,28,53000,17,12
1785,24,-3,11,11
1786,19,37000,14,12
1787,23,37000,14,12
1788,28,25000,8,14
1789,29,25000,8,14
1790,22,102000,12,12
1791,23,102000,12,12
1792,32,8000,10,11
1793,33,-3,14,17
1794,33,-3,14,17
1795,28,-3,-3,16
1796,38,-3,12,9
1797,32,-3,14,14
1798,24,48294,12,12
1799,25,48294,12,12
1800,18,50900,-3,10
1801,27,26500,15,12
1802,21,58000,16,12
1803,21,-4,11,12
1804,32,-3,12,12
1805,26,60000,18,12
1806,25,60500,12,12
1807,25,25140,13,13
1808,16,-3,-3,13
1809,26,44500,16,16
1810,28,44500,16,16
1811,29,44500,16,16
1812,29,75500,13,20
1813,20,45530,12,12
1814,22,45530,12,12
1815,29,68000,16,14
1816,29,68000,16,14
1817,29,47015,16,16
1818,21,18500,12,12
1819,24,32000,15,12
1820,23,33000,19,16
1821,36,54800,16,14
1822,36,54800,16,14
1823,17,65328,16,12
1824,26,74400,18,16
1825,31,97500,12,12
1826,32,49615,16,16
1827,32,109000,16,12
1828,34,109000,16,12
1829,32,-3,20,20
1830,35,79500,20,12
1831,30,246474,12,14
1832,29,41750,14,16
1833,23,-3,10,9
1834,35,101700,12,13
1835,31,-4,12,12
1836,-3,102100,-4,-4
1837,33,113750,18,20
1838,-3,246474,-4,-4
1839,26,37750,18,18
1840,28,37750,18,18
1841,30,37750,18,18
1842,18,8364,11,10
1843,21,-4,11,10
1844,23,-4,11,10
1845,18,10924,12,11
1846,19,10924,12,11
1847,26,31500,20,16
1848,26,29318,12,12
1849,31,39900,16,12
1850,20,34000,16,12
1851,22,60005,16,12
1852,22,40000,10,9
1853,25,62000,16,20
1854,16,-3,11,11
1855,35,44000,12,13
1856,24,96500,16,16
1857,26,96500,16,16
1858,28,162500,20,20
1859,32,78500,16,16
1860,24,66750,14,12
1861,25,66750,14,12
1862,28,97000,16,18
1863,28,97534,20,15
1864,29,246474,17,18
1865,17,51503,12,11
1866,21,44500,12,13
1867,18,35800,13,14
1868,20,-4,13,14
1869,26,41291,14,12
1870,27,-4,14,12
1871,-3,15000,-4,-4
1872,20,12800,11,13
1873,20,64500,12,11
1874,23,64500,12,11
1875,37,-4,-3,-3
1876,30,-3,16,16
1877,19,45000,12,12
1878,22,45000,12,12
1879,23,50810,18,12
1880,35,35011,12,12
1881,32,66500,12,14
1882,24,57200,17,13
1883,28,57200,17,13
1884,26,-3,17,17
1885,29,-3,17,17
1886,19,44633,13,13
1887,33,246474,20,20
1888,23,47020,10,10
1889,25,21200,12,12
1890,26,21200,12,12
1891,28,21200,12,12
1892,30,82880,12,13
1893,23,58000,12,12
1894,26,45600,17,13
1895,29,45600,17,13
1896,24,70200,14,12
1897,25,83500,16,16
1898,27,83500,16,16
1899,20,44000,12,12
1900,21,44000,12,12
1901,23,-3,14,16
1902,26,-3,14,16
1903,-3,102500,-4,-4
1904,-3,102500,-4,-4
1905,32,60700,18,15
1906,20,31000,12,12
1907,25,37000,12,11
1908,22,-3,12,13
1909,25,-3,12,13
1910,28,45000,12,13
1911,30,45000,12,13
1912,22,40015,10,13
1913,31,14000,12,13
1914,25,54750,12,14
1915,16,6770,12,12
1916,21,85500,12,12
1917,29,1800,16,16
1918,24,53364,16,14
1919,25,53364,16,14
1920,37,100400,18,20
1921,17,-3,12,16
1922,18,-3,12,16
1923,26,15500,16,16
1924,22,75500,14,13
1925,-3,246474,-4,-4
1926,28,-3,-3,12
1927,28,-3,-4,12
1928,30,14400,8,12
1929,32,14400,8,12
1930,18,18000,9,9
1931,28,68400,15,12
1932,28,113400,16,16
1933,20,21400,12,14
1934,28,17000,14,10
1935,19,-3,12,13
1936,21,17500,8,-3
1937,16,22700,10,13
1938,17,22700,10,13
1939,30,30000,10,10
1940,26,-3,8,9
1941,19,26000,-3,5
1942,22,26000,-3,5
1943,33,34554,20,17
1944,36,34554,20,17
1945,31,11000,-4,12
1946,25,-3,12,12
1947,-3,65500,-3,13
1948,23,9408,-3,10
1949,-3,26960,12,16
1950,23,49000,13,13
1951,19,-3,11,12
1952,16,-3,12,-3
1953,-3,36400,3,3
1954,-3,-3,12,-3
1955,22,40000,-3,12
1956,13,40000,-3,8
1957,19,-3,-3,10
1958,21,-3,-3,10
1959,-3,6588,-4,-3
1960,19,17500,4,3
1961,19,17500,4,3
1962,32,49500,12,13
1963,28,59020,12,12
1964,19,-3,10,15
1965,21,58000,12,14
1966,28,71600,16,16
1967,21,55000,13,13
1968,24,55000,13,13
1969,25,55000,13,13
1970,27,80050,14,16
1971,19,56854,-3,12
1972,22,56854,-3,12
1973,29,-3,16,15
1974,35,-4,12,13
1975,18,37535,12,12
1976,21,37535,12,12
1977,18,16334,11,13
1978,18,-4,11,10
1979,36,11904,12,13
1980,24,31750,12,12
1981,25,31750,12,12
1982,24,29500,9,9
1983,21,-4,12,14
1984,23,-4,12,14
1985,24,62500,15,13
1986,34,79500,14,14
1987,28,94300,13,9
1988,34,22780,14,14
1989,35,6060,-4,14
1990,26,28300,13,17
1991,27,7500,14,18
1992,27,69600,-3,14
1993,29,69600,-3,14
1994,23,44188,14,16
1995,31,142100,16,-3
1996,34,142100,16,-3
1997,28,-4,6,14
1998,32,-4,6,14
1999,19,-3,-3,12
2000,23,-3,5,12
2001,22,-4,8,9
2002,19,15000,9,10
2003,22,-3,10,9
2004,18,3021,-3,11
2005,-3,3021,-3,11
2006,39,28100,9,12
2007,29,22600,12,9
2008,30,22600,12,9
2009,22,41840,-3,9
2010,24,41840,9,9
2011,22,18000,-3,12
2012,-3,18000,-3,12
2013,-3,29500,11,-3
2014,23,15500,7,8
2015,31,16100,-3,11
2016,31,16100,-3,11
2017,25,22200,12,12
2018,38,-3,10,10
2019,25,-3,-3,12
2020,17,-4,-3,10
2021,34,2500,12,11
2022,24,77500,12,12
2023,20,-3,12,13
2024,22,-3,12,13
2025,25,40000,12,13
2026,24,27500,14,12
2027,30,71000,16,16
2028,32,71000,16,16
2029,24,-3,12,12
2030,31,52300,14,18
2031,26,36180,12,12
2032,18,-3,-3,12
2033,25,48635,16,12
2034,28,79150,18,18
2035,20,-4,14,14
2036,26,103400,12,15
2037,22,36400,12,12
2038,24,36400,12,12
2039,28,19625,13,13
2040,24,104000,16,16
2041,27,104000,16,16
2042,22,246474,18,12
2043,24,246474,18,12
2044,26,71750,16,16
2045,28,71750,16,16
2046,29,-4,16,20
2047,33,-4,16,20
2048,-3,246474,20,-4
2049,-3,-4,16,12
2050,30,-4,16,13
2051,32,-4,16,13
2052,23,76700,12,13
2053,25,76700,12,13
2054,29,81500,19,15
2055,31,81500,19,15
2056,34,-3,16,13
2057,28,91750,16,18
2058,30,91750,16,18
2059,23,135500,16,20
2060,28,135500,16,20
2061,30,-4,10,16
2062,32,114250,19,18
2063,34,-3,17,18
2064,30,77300,13,16
2065,32,77300,13,16
2066,28,-3,19,16
2067,30,-3,19,16
2068,35,60000,20,20
2069,36,60000,20,20
2070,29,246474,-3,20
2071,26,246474,16,13
2072,26,246474,13,16
2073,29,-3,-3,18
2074,29,60300,14,14
2075,33,70120,14,13
2076,24,12450,12,12
2077,27,12450,12,12
2078,37,84130,16,18
2079,34,64500,12,12
2080,35,64500,12,12
2081,23,32600,16,12
2082,29,108700,16,16
2083,36,43580,19,13
2084,37,43580,19,13
2085,29,64100,14,16
2086,32,64100,14,16
2087,25,-4,12,12
2088,32,-3,12,13
2089,24,115157,16,16
2090,26,115157,16,16
2091,31,-3,16,16
2092,27,65500,16,16
2093,20,-3,13,13
2094,27,48720,14,16
2095,25,21300,12,13
2096,19,46800,12,16
2097,18,13352,16,12
2098,16,14832,-3,8
2099,15,8771,-3,10
2100,18,8771,-3,10
2101,-3,-4,-4,-3
2102,24,18632,12,12
2103,29,18632,12,12
2104,18,13500,12,12
2105,30,-3,-4,12
2106,29,56000,17,18
2107,17,15100,12,13
2108,29,55590,-3,12
2109,27,-3,14,14
2110,22,15536,12,12
2111,23,45000,12,12
2112,24,54600,12,16
2113,26,54600,12,16
2114,28,-4,-4,12
2115,25,13200,11,12
2116,20,-4,10,12
2117,18,19240,11,10
2118,20,19240,11,10
2119,20,7720,-3,12
2120,29,124200,17,14
2121,30,31000,17,14
2122,33,31000,17,14
2123,34,82500,12,16
2124,36,82500,12,16
2125,27,85500,18,12
2126,28,128300,12,12
2127,31,99000,14,12
2128,33,99000,14,12
2129,23,-4,-3,-3
2130,-3,44512,12,-4
2131,23,-3,12,14
2132,26,-3,12,14
2133,25,-3,16,12
2134,27,-3,14,14
2135,16,17000,12,5
2136,22,16300,-4,16
2137,31,41200,13,14
2138,22,57500,12,12
2139,27,109200,14,12
2140,25,-3,14,12
2141,23,47212,13,12
2142,23,53019,12,12
2143,25,53019,12,12
2144,27,33200,16,14
2145,19,59750,-3,12
2146,32,246474,16,16
2147,27,57750,14,14
2148,24,246474,18,12
2149,-3,-3,19,14
2150,23,-4,14,12
2151,24,30160,14,12
2152,23,41000,16,16
2153,34,10400,12,14
2154,12,7200,9,10
2155,23,11900,12,10
2156,17,8100,-3,12
2157,24,12440,10,8
2158,25,12440,10,8
2159,19,8050,-4,10
2160,31,5880,12,14
2161,19,16600,12,12
2162,-3,112500,19,16
2163,35,99000,17,16
2164,33,246474,16,16
2165,32,45245,16,16
2166,32,32500,16,16
2167,34,32500,16,16
2168,28,-3,14,16
2169,26,57000,16,16
2170,30,35300,-3,14
2171,19,16100,16,20
2172,27,41500,13,14
2173,27,62700,-3,16
2174,20,-3,10,12
2175,22,-3,10,12
2176,23,86074,12,12
2177,25,54300,12,12
2178,25,-3,12,12
2179,20,20360,12,12
2180,21,39750,16,15
2181,28,104000,16,16
2182,22,-3,14,14
2183,23,-3,14,14
2184,22,43300,12,12
2185,33,73501,13,12
2186,-3,42000,12,12
2187,29,91722,12,12
2188,20,18000,12,12
2189,21,-4,12,12
2190,-3,-3,-4,-4
2191,41,109900,20,14
2192,29,50000,16,14
2193,24,19550,12,12
2194,18,51000,12,12
2195,26,67500,16,14
2196,26,92200,-3,8
2197,30,246474,12,12
2198,26,26000,13,12
2199,28,26000,13,12
2200,36,246474,20,18
2201,28,-3,20,16
2202,31,140000,16,16
2203,24,111750,18,12
2204,26,161800,15,16
2205,28,-3,20,18
2206,30,-3,20,18
2207,23,58000,12,13
2208,31,68000,16,16
2209,33,68000,16,16
2210,28,-3,18,17
2211,31,-3,18,17
2212,24,53300,95,14
2213,24,69050,-4,12
2214,22,-4,14,12
2215,25,-4,14,12
2216,30,-3,14,14
2217,21,41200,-3,11
2218,34,95750,18,18
2219,21,43500,12,12
2220,25,43500,12,12
2221,30,83976,18,16
2222,31,50000,16,15
2223,32,50000,16,15
2224,34,50000,16,15
2225,28,48560,10,12
2226,31,75300,12,14
2227,28,35000,12,10
2228,22,25200,12,14
2229,25,62300,12,12
2230,25,62300,12,12
2231,25,57560,12,12
2232,17,123360,8,12
2233,32,98005,20,16
2234,25,58850,11,14
2235,19,25349,12,12
2236,27,51950,16,16
2237,27,84000,20,16
2238,30,-4,16,14
2239,26,-4,4,3
2240,26,-4,4,3
2241,29,-4,4,3
2242,24,37000,6,9
2243,27,37000,6,9
2244,21,-4,10,8
2245,26,28250,12,12
2246,27,50000,12,13
2247,29,-3,14,12
2248,27,56000,14,14
2249,25,59550,14,12
2250,21,35469,12,12
2251,23,35469,12,12
2252,27,48600,-4,13
2253,28,48600,-4,13
2254,29,65400,12,12
2255,18,55000,12,12
2256,21,55000,12,12
2257,24,-3,18,15
2258,28,-3,18,15
2260,20,55000,12,12
2261,22,37100,11,13
2262,26,37100,11,13
2263,22,25769,12,12
2264,22,-3,12,12
2265,20,9116,12,12
2266,22,9116,12,12
2267,22,33000,-4,13
2268,21,-3,12,12
2269,22,-3,12,12
2270,28,-3,16,16
2271,31,118400,16,12
2272,25,23600,16,16
2273,18,16016,12,10
2274,18,9400,-3,6
2275,22,45200,12,9
2276,25,45200,12,9
2277,-3,38000,12,-4
2278,18,38000,6,12
2279,24,18500,12,13
2280,31,-3,18,16
2281,24,-3,14,14
2282,20,-3,-3,10
2283,23,5043,12,10
2284,-3,-3,12,-3
2285,28,10014,-3,12
2286,-3,31150,13,12
2287,26,80120,16,14
2288,23,84705,-4,7
2289,31,61300,14,17
2290,34,-3,17,17
2291,25,-4,12,12
2292,24,31850,12,12
2293,20,45800,12,14
2294,24,17000,10,11
2295,28,17340,8,14
2296,26,-3,16,18
2297,27,53000,12,12
2298,30,17080,14,16
2299,30,17080,14,16
2300,25,-3,14,12
2301,28,-3,14,12
2302,23,-3,14,-3
2303,24,-3,14,-3
2304,19,15400,10,1
2305,21,15400,10,1
2306,25,17500,8,8
2307,29,-4,8,8
2308,19,16000,12,14
2309,24,7500,13,14
2310,17,19000,10,9
2311,20,19000,10,9
2312,17,20500,11,10
2313,19,20500,11,10
2314,21,20500,11,10
2315,-3,8160,12,-3
2316,28,35600,9,7
2317,30,35600,9,7
2318,19,33200,12,11
2319,21,33200,12,11
2320,20,18700,15,12
2321,22,45200,13,12
2322,24,45200,13,12
2323,29,6600,10,15
2324,31,6600,10,15
2325,27,-3,12,12
2326,29,63997,15,13
2327,29,25040,14,12
2328,33,90500,20,14
2329,32,130000,20,20
2330,35,130000,20,20
2331,27,79000,16,14
2332,29,79000,16,14
2333,30,61300,13,14
2334,24,52000,12,12
2335,28,52000,12,12
2336,20,60140,12,12
2337,20,65200,16,13
2338,23,65200,16,13
2339,20,39100,-4,12
2340,23,39100,-4,12
2341,25,39100,12,12
2342,22,28000,12,12
2343,20,-4,12,12
2344,25,246474,14,18
2345,35,65000,12,14
2346,23,148000,16,12
2347,32,97250,16,16
2348,29,-3,12,16
2349,21,-3,12,12
2350,23,-3,12,12
