locationid,latitude,longitude,stnelev,station,countryid
CA005021480,49.1833,-99.65,496.0,KILLARNEY,CA
CA005021688,49.2667,-98.4833,488.0,MANITOU,CA
CA005021695,50.0167,-97.8,244.0,MARQUETTE,CA
CA005021737,49.45,-98.25,297.0,MIAMI_THIESSEN,CA
CA005021840,49.1833,-98.1,302.0,MORDEN,CA
CA005021848,49.1833,-98.0833,298.0,MORDEN_CDA,CA
CA005021849,49.1833,-98.0833,298.0,MORDEN_CDA_CS,CA
CA005021920,49.35,-97.3667,235.0,MORRIS,CA
CA005021975,49.4,-97.7833,248.0,MYRTLE,CA
CA005022040,49.4,-99.6333,417.0,NINETTE,CA
CA005022043,49.6,-97.05,237.0,NIVERVILLE,CA
CA005022051,49.9333,-96.85,246.0,OAKBANK,CA
CA005022065,49.0,-100.05,693.0,PEACE_GARDENS,CA
CA0050220M0,49.4167,-99.65,419.0,NINETTE_1_NW,CA
CA005022120,49.2,-98.8833,475.0,PILOT_MOUND,CA
CA005022125,49.1833,-98.9,470.0,PILOT_MOUND_AUT,CA
CA005022129,49.2,-98.9,472.0,PILOT_MOUND_2,CA
CA005022171,49.0333,-96.0,326.0,PINEY,CA
CA005022245,49.05,-97.8,265.0,PLUM_COULEE,CA
CA005022335,49.6833,-98.55,324.0,RATHWELL,CA
CA005022480,49.4167,-98.0,267.0,ROLAND,CA
CA005022547,50.0833,-96.9833,230.0,ST_ANDREWS,CA
CA005022630,50.1667,-96.8667,226.0,SELKIRK,CA
CA005022703,49.0667,-98.65,474.0,SNOWFLAKE,CA
CA005022759,49.0167,-95.6,329.0,SPRAGUE,CA
CA005022760,49.0167,-95.6,329.0,SPRAGUE,CA
CA005022770,49.7333,-97.6167,238.0,STARBUCK,CA
CA005022780,49.5333,-96.7667,254.0,STEINBACH,CA
CA005022788,50.1167,-97.3333,252.0,STONEWALL,CA
CA005022790,50.0667,-97.2333,245.0,STONY_MOUNTAIN,CA
CA005022791,50.1167,-97.1667,236.0,STONY_MOUNTAIN,CA
CA005022946,49.1333,-100.1167,579.0,TURTLE_MOUNTAIN_11,CA
CA005023222,49.9167,-97.2333,239.0,WINNIPEG_RICHARDSON_INT'L_A,CA
CA005023243,49.8833,-97.1167,232.0,WINNIPEG_ST_JOHNS_COLL,CA
CA005023261,49.95,-97.1,233.0,WINNIPEG_STP,CA
CA005023262,49.8833,-97.1333,230.0,WINNIPEG_THE_FORKS,CA
CA005023370,49.25,-96.5167,305.0,ZHODA,CA
CA00502I001,49.5,-98.0333,268.0,CARMAN_U_OF_M_CS,CA
CA00502S001,49.9167,-97.25,239.0,WINNIPEG_'A'_CS,CA
CA005030080,50.9333,-97.0833,224.0,ARBORG,CA
CA005030155,50.1333,-96.2167,302.0,BEAUSEJOUR,CA
CA005030160,50.0333,-96.4667,251.0,BEAUSEJOUR_2,CA
CA005030200,52.35,-97.0333,217.0,BERENS_RIVER,CA
CA005030203,52.3667,-97.0167,222.0,BERENS_RIVER_CS,CA
CA005030280,50.9667,-95.6333,222.0,BISSETT,CA
CA005030282,51.0333,-95.7,259.0,BISSETT,CA
CA005030510,50.9833,-97.4667,259.0,BROAD_VALLEY,CA
CA005030556,52.3,-97.3833,216.0,CHANNEL_ISLAND,CA
CA005030912,49.6833,-95.3667,338.0,FALCON_LAKE_TCPL_45,CA
CA005030917,51.05,-97.5333,259.0,FISHER_BRANCH_SOUTH,CA
CA005030982,50.6333,-97.2167,256.0,FRASERWOOD,CA
CA005030984,52.8167,-97.6167,223.0,GEORGE_ISLAND_AUT,CA
CA0050309J6,51.0833,-97.55,253.0,FISHER_BRANCH_AUT,CA
CA005031038,50.6333,-97.0167,223.0,GIMLI,CA
CA005031039,50.6333,-97.0167,223.0,GIMLI,CA
CA005031040,50.6333,-97.05,223.0,GIMLI_A,CA
CA005031041,50.6333,-96.9833,217.0,GIMLI_HARBOUR_CS,CA
CA005031042,50.6333,-97.05,230.0,GIMLI_CLIMATE,CA
CA0050310D0,50.6333,-97.05,230.0,GIMLI_INDUSTRIAL_PARK,CA
CA005031110,53.1833,-99.2667,223.0,GRAND_RAPIDS,CA
CA005031111,53.15,-99.2833,223.0,GRAND_RAPIDS_HYDRO,CA
CA005031200,50.4667,-96.0,249.0,GREAT_FALLS,CA
CA005031201,50.5167,-95.9833,253.0,GREAT_FALLS_CLIMATE,CA
CA005031301,51.1833,-97.4667,232.0,HODGSON_2,CA
CA005031320,49.6167,-95.2,327.0,INDIAN_BAY,CA
CA005031A10,53.1833,-99.2667,223.0,GRAND_RAPIDS_AUT,CA
CA005032160,50.2167,-95.9167,259.0,PINAWA,CA
CA005032162,50.1833,-96.0667,267.0,PINAWA_WNRE,CA
CA005032163,51.6333,-96.8,222.0,PINE_DOCK,CA
CA005032164,50.5667,-96.2167,231.0,PINE_FALLS,CA
CA005032560,49.75,-96.6,256.0,STE_GENEVIEVE,CA
CA005032640,50.1167,-96.0167,267.0,SEVEN_SISTERS_FALLS,CA
CA005032764,49.65,-96.1667,310.0,SPRUCE_TCPL_43,CA
CA005032951,50.7,-96.5667,220.0,VICTORIA_BEACH_AUT,CA
CA00503B0NE,49.8167,-96.4833,274.0,OSTENFELD,CA
CA00503B1ER,50.1833,-96.0667,268.0,PINAWA,CA
CA005040120,51.1333,-98.3667,263.0,ASHERN,CA
CA005040131,51.75,-99.9,256.0,BACHELORS_ISLAND_MARINE,CA
CA005040218,52.5167,-100.9167,268.0,BIRCH_RIVER,CA
CA005040675,51.15,-100.0333,292.0,DAUPHIN,CA
CA005040680,51.1,-100.05,305.0,DAUPHIN_A,CA
CA005040681,51.1,-100.05,305.0,DAUPHIN_CS,CA
CA005040689,51.1,-100.05,305.0,DAUPHIN,CA
CA005040764,50.1833,-98.3833,248.0,DELTA_MARSH_CS,CA
CA005040895,50.8333,-98.2333,259.0,ERIKSDALE,CA
CA005040985,51.1,-100.4667,404.0,GILBERT_PLAINS,CA
CA005040FJ3,52.0333,-100.65,366.0,COWAN,CA
CA0050410N0,50.1833,-99.0167,282.0,GLADSTONE_SOUTH,CA
CA005041140,50.5167,-98.9667,270.0,GRASS_RIVER,CA
CA005041229,51.6667,-98.7333,265.0,GYPSUMVILLE,CA
CA005041530,50.4,-98.55,250.0,LANGRUTH,CA
CA005041587,50.75,-97.9333,267.0,LUNDAR,CA
CA005041588,50.65,-98.1,252.0,LUNDAR_4SW,CA
CA005041685,52.6667,-101.1,325.0,MAFEKING,CA
CA005041686,51.3167,-99.4833,264.0,MAGNET,CA
CA005041711,51.7167,-99.55,250.0,MEADOW_PORTAGE,CA
CA005041800,51.3,-98.6167,250.0,MOOSEHORN,CA
CA005042000,50.2333,-99.5,388.0,NEEPAWA_A,CA
CA005042004,50.15,-99.5667,412.0,NEEPAWA_MURRAY_6_SOUTHWEST,CA
CA005042005,50.2167,-99.4667,358.0,NEEPAWA_WATER,CA
CA0050420E5,51.0667,-99.7833,280.0,OCHRE_RIVER,CA
CA005042168,51.7667,-100.3167,302.0,PINE_RIVER,CA
CA005042169,51.8,-100.5667,378.0,PINE_RIVER,CA
CA005042240,50.3833,-99.0833,378.0,PLUMAS,CA
CA005042241,50.45,-99.0,378.0,PLUMAS,CA
CA005042485,51.4333,-99.7333,266.0,RORKETON_WEST,CA
CA005042522,50.9833,-101.3333,558.0,RUSSELL_BARNARDO,CA
CA005042774,51.45,-98.8,250.0,STEEP_ROCK,CA
CA005042800,52.05,-101.2167,347.0,SWAN_RIVER,CA
CA005043020,50.9167,-98.75,250.0,VOGAR,CA
CA005043158,50.7167,-99.5333,351.0,MCCREARY,CA
CA00504K0NM,50.5,-98.0333,250.0,OAKPOINT_MARINE,CA
CA00504K80K,52.1167,-101.2333,335.0,SWAN_RIVER_RCS,CA
CA005050919,54.6833,-101.6833,304.0,FLIN_FLON,CA
CA005050920,54.7667,-101.8833,320.0,FLIN_FLON,CA
CA005050960,54.6833,-101.6833,304.0,FLIN_FLON_A,CA
CA005052060,53.7167,-101.5333,262.0,PASQUIA_PROJECT,CA
CA0050520EE,53.5,-101.3333,262.0,OONIKUP,CA
CA005052864,53.8167,-101.25,271.0,THE_PAS,CA
CA005052880,53.9667,-101.1,270.0,THE_PAS_A,CA
CA005052890,53.9667,-101.1,274.0,THE_PAS_CLIMATE,CA
CA005053080,54.1833,-101.3667,271.0,WANLESS,CA
CA005060520,57.8833,-101.6833,346.0,BROCHET_A,CA
CA005060595,58.7333,-94.0667,29.0,CHURCHILL,CA
CA005060600,58.7333,-94.0667,29.0,CHURCHILL_A,CA
CA005060602,58.7833,-94.1833,13.0,CHURCHILL_MARINE,CA
CA005060606,58.7333,-94.0667,29.0,CHURCHILL_UA,CA
CA005060608,58.7333,-94.0667,29.0,CHURCHILL_CLIMATE,CA
CA005060623,54.5333,-98.0333,219.0,CROSS_LAKE_JENPEG,CA
CA005060999,56.3667,-94.7,145.0,GILLAM,CA
CA005061000,56.35,-94.7,138.0,GILLAM,CA
CA005061001,56.35,-94.7167,145.0,GILLAM_A,CA
CA005061376,53.85,-94.65,236.0,ISLAND_LAKE_A,CA
CA005061422,56.0333,-96.5167,183.0,KELSEY_DAM_CS,CA
CA005061423,56.0333,-96.5333,183.0,KELSEY_HYDRO,CA
CA005061640,56.85,-101.0333,340.0,LYNN_LAKE,CA
CA005061646,56.8667,-101.0833,357.0,LYNN_LAKE_A,CA
CA005061648,56.8667,-101.0833,357.0,LYNN_LAKE,CA
CA005061649,56.85,-101.0667,354.0,LYNN_LAKE_RCS,CA
CA005062045,53.9667,-97.85,224.0,NORWAY_HOUSE,CA
CA005062047,53.9833,-97.8333,217.0,NORWAY_HOUSE,CA
CA005062327,57.0,-92.85,15.0,PORT_NELSON,CA
CA005062529,56.4833,-99.65,289.0,RUTTAN_LAKE,CA
CA005062840,58.7167,-98.5,262.0,TADOULE_LAKE_CS,CA
CA005062922,55.8,-97.8667,223.0,THOMPSON_A,CA
CA005062926,55.75,-97.8667,206.0,THOMPSON_ZOO,CA
CA005063040,54.9167,-98.6333,233.0,WABOWDEN,CA
CA005063350,57.0,-92.3,6.0,YORK_FACTORY,CA
CA00506B047,53.95,-97.85,224.0,NORWAY_HOUSE_A,CA
CA00506B0M7,54.0,-97.8,217.0,NORWAY_HOUSE_FORESTRY,CA
CA006010735,53.8167,-89.9,223.0,BIG_TROUT_LAKE,CA
CA006010738,53.8333,-89.8667,224.0,BIG_TROUT_LAKE,CA
CA006010739,53.8167,-89.9,222.0,BIG_TROUT_LAKE_READAC,CA
CA006010740,53.8167,-89.9,223.0,BIG_TROUT_LAKE,CA
CA006011305,51.5,-90.15,345.0,CENTRAL_PATRICIA,CA
CA006012198,50.6333,-93.2167,361.0,EAR_FALLS,CA
CA006012199,50.6333,-93.2167,363.0,EAR_FALLS_AUT,CA
CA006012490,51.55,-87.9667,11.0,FORT_HOPE,CA
CA006014350,52.2333,-87.8833,255.0,LANSDOWNE_HOUSE,CA
CA006014353,52.2,-87.9333,253.0,LANSDOWNE_HOUSE_AUT,CA
CA006016295,54.9833,-85.4333,53.0,PEAWANUCK_AUT,CA
CA006016525,51.45,-90.2167,391.0,PICKLE_LAKE_AUT,CA
CA006016527,51.45,-90.2167,386.0,PICKLE_LAKE_A,CA
CA006016529,51.45,-90.2167,386.0,PICKLE_LAKE_A,CA
CA006016890,51.2,-90.2333,375.0,RAT_RAPIDS,CA
CA006016975,51.0667,-93.8,386.0,RED_LAKE_A,CA
CA006020379,48.75,-91.6167,395.0,ATIKOKAN,CA
CA006020381,48.7333,-91.6333,391.0,ATIKOKAN_CLI,CA
CA006020384,48.8,-91.5833,442.0,ATIKOKAN_MARMION,CA
CA006020559,48.6333,-93.9667,335.0,BARWICK,CA
CA006020LPQ,48.7667,-91.6333,389.0,ATIKOKAN_AUT,CA
CA006022300,48.6333,-93.8,337.0,EMO,CA
CA006022474,48.65,-93.4333,342.0,FORT_FRANCES_RCS,CA
CA006022475,48.6167,-93.4167,343.0,FORT_FRANCES,CA
CA006022476,48.65,-93.4333,342.0,FORT_FRANCES_A,CA
CA006025203,48.7667,-92.6167,343.0,MINE_CENTRE,CA
CA006025205,48.7667,-92.6167,361.0,MINE_CENTRE_SOUTHWEST,CA
CA006027825,48.7167,-94.4167,335.0,SLEEMAN,CA
CA006028125,48.7833,-94.05,358.0,STRATTON,CA
CA00602K300,48.6833,-93.8333,350.0,EMO_RADBOURNE,CA
CA006032117,49.7833,-92.8333,372.0,DRYDEN,CA
CA006032119,49.8333,-92.75,413.0,DRYDEN_A,CA
CA006032120,49.8333,-92.75,413.0,DRYDEN_'A'_AUT,CA
CA006033690,49.4167,-91.65,447.0,IGNACE,CA
CA006033697,49.4833,-92.0,473.0,IGNACE_TCPL_58,CA
CA006034070,49.8,-94.5333,336.0,KENORA,CA
CA006034073,49.7833,-94.3833,413.0,KENORA_RCS,CA
CA006034075,49.7833,-94.3667,410.0,KENORA_A,CA
CA006034077,49.7833,-94.4833,340.0,KENORA_TCPL_49,CA
CA006035002,49.2833,-91.2333,471.0,MARTIN_TCPL_60,CA
CA006036904,49.65,-93.7167,358.0,RAWSON_LAKE,CA
CA006037768,50.1333,-91.8667,365.0,SIOUX_LOOKOUT,CA
CA006037770,50.1333,-91.8667,374.0,SIOUX_LOOKOUT,CA
CA006037775,50.1167,-91.9,383.0,SIOUX_LOOKOUT_A,CA
CA006037776,50.1167,-91.9,383.0,SIOUX_LOOKOUT_A,CA
CA006039136,49.8333,-93.6333,385.0,VERMILION_BAY_TCPL_52,CA
CA006040020,49.35,-89.3667,457.0,ABITIBI_CAMP_230,CA
CA006040081,48.7833,-87.1667,189.0,AGUASABON,CA
CA006040325,50.3,-88.9,323.0,ARMSTRONG_AUT,CA
CA006040326,50.3,-89.0333,351.0,ARMSTRONG_AUT,CA
CA006040572,49.6167,-87.95,305.0,BEARDMORE,CA
CA006041109,49.15,-88.35,229.0,CAMERON_FALLS,CA
CA006041110,49.15,-88.35,233.0,CAMERON_FALLS_AUT,CA
CA006041193,49.2667,-85.8333,338.0,CARAMAT,CA
CA006041222,47.3333,-85.8333,187.0,CARIBOU_ISLAND_AUT,CA
CA006042067,48.8167,-88.5167,193.0,DORION_TCPL_70,CA
CA006042715,49.7,-86.95,331.0,GERALDTON,CA
CA006042716,49.7833,-86.9333,348.0,GERALDTON_A,CA
CA006042975,49.2667,-90.5833,503.0,GRAHAM_A,CA
CA006042MJ7,48.35,-89.6833,274.0,FLINT,CA
CA006043452,48.7,-85.8833,335.0,HEMLO_BATTLE_MOUNTAIN,CA
CA006043930,48.4,-89.6167,278.0,KAKABEKA_FALLS,CA
CA006044525,49.75,-86.5,317.0,LONGLAC,CA
CA006044560,49.7667,-86.5333,343.0,LONGLAC_P_AND_P,CA
CA006044903,49.15,-85.8,332.0,MANITOUWADGE,CA
CA006044959,48.7167,-86.4,189.0,MARATHON,CA
CA006045550,50.1833,-86.7,325.0,NAKINA_A,CA
CA006045711,48.1333,-90.5667,479.0,NORTH_LAKE,CA
CA006046588,48.4333,-89.2167,195.0,PORT_ARTHUR,CA
CA006046767,48.5833,-86.3,208.0,PUKASKWA_AUT,CA
CA006046770,48.6,-86.3,192.0,PUKASKWA_NATL_PARK,CA
CA006046811,49.4167,-90.9,445.0,QUORN,CA
CA006046856,48.7333,-89.8667,433.0,RAITH_TCPL_64,CA
CA006047615,48.9667,-90.2,459.0,SAVANNE,CA
CA006047627,48.8167,-87.2667,302.0,SCHREIBER,CA
CA006048230,48.8,-87.1,289.0,TERRACE_BAY,CA
CA006048231,48.8167,-87.1,290.0,TERRACE_BAY_A,CA
CA006048260,48.3667,-89.3167,199.0,THUNDER_BAY,CA
CA006048261,48.3667,-89.3333,199.0,THUNDER_BAY_A,CA
CA006048266,48.4167,-89.2833,200.0,THUNDER_BAY_BURWOOD,CA
CA006048268,48.3667,-89.3333,199.0,THUNDER_BAY_CS,CA
CA006048864,48.2333,-89.5167,317.0,TRANQUILLO_RIDGE,CA
CA006049095,49.0333,-90.4667,489.0,UPSALA_AUT,CA
CA006049096,49.05,-90.4667,484.0,UPSALA,CA
CA006049098,49.0333,-90.5167,493.0,UPSALA_TCPL_62,CA
CA006049175,50.7833,-87.9833,329.0,WABOOSE_DAM,CA
CA006049443,48.3667,-89.1167,211.0,WELCOME_ISLAND_AUT,CA
CA006049466,48.2833,-89.9167,399.0,WHITEFISH_LAKE,CA
CA00604HBFA,48.4,-89.2333,184.0,THUNDER_BAY_WPCP,CA
CA006050801,46.2,-83.0,183.0,BLIND_RIVER,CA
CA006051027,46.3,-83.9167,181.0,BRUCE_MINES,CA
CA006052258,46.3833,-82.65,312.0,ELLIOT_LAKE,CA
CA006052259,46.35,-82.5667,331.0,ELLIOT_LAKE_A,CA
CA006052268,46.4167,-82.65,374.0,ELLIOT_LAKE_STANLEIGH,CA
CA006052563,48.4667,-84.4167,373.0,FRANZ,CA
CA006053463,47.9167,-84.7167,221.0,HIGH_FALLS,CA
CA006053570,49.2333,-84.8,329.0,HORNEPAYNE,CA
CA006055210,46.4333,-83.3833,226.0,MISSISSAGI_ONT_HYDRO,CA
CA006055302,47.2667,-84.4333,306.0,MONTREAL_FALLS,CA
CA006057590,46.5333,-84.3333,212.0,SAULT_STE_MARIE_2,CA
CA006057592,46.4833,-84.5167,192.0,SAULT_STE_MARIE_A,CA
CA006057595,46.5,-84.3667,193.0,SAULT_STE_M_FORESTRY,CA
CA006057678,46.75,-84.0833,221.0,SEARCHMONT,CA
CA006058010,48.0667,-84.8,335.0,STEEP_HILL_FALLS,CA
CA006059408,47.9667,-84.7833,287.0,WAWA_AUT,CA
CA006059409,48.0,-84.8,297.0,WAWA,CA
CA006059475,48.6,-85.2833,379.0,WHITE_RIVER,CA
CA006059D09,47.9667,-84.7833,287.0,WAWA_A,CA
CA00605DJ25,45.9667,-81.4833,196.0,KILLARNEY_AUT,CA
CA006060773,47.3,-82.1,407.0,BISCOTASING,CA
CA006061358,47.8333,-83.4333,428.0,CHAPLEAU,CA
CA006061359,47.8333,-83.4333,432.0,CHAPLEAU_2,CA
CA006061361,47.8167,-83.35,448.0,CHAPLEAU_A,CA
CA006061847,46.4667,-80.8167,237.0,CONISTON,CA
CA006062425,48.25,-82.4333,329.0,FOLEYET,CA
CA006064460,46.4333,-81.15,282.0,LIVELY,CA
CA006065006,46.2,-82.0167,200.0,MASSEY,CA
CA006065043,46.2833,-80.85,213.0,MCVITTIES,CA
CA006065250,46.15,-80.3,221.0,MONETVILLE,CA
CA006066875,47.4167,-82.3167,426.0,RAMSEY,CA
CA006067211,47.3,-81.45,410.0,RUEL,CA
CA006068145,46.6333,-80.8,348.0,SUDBURY_CLIMATE,CA
CA006068148,46.4833,-80.9833,259.0,SUDBURY,CA
CA006068150,46.6333,-80.8,348.0,SUDBURY_A,CA
CA006068980,46.3833,-81.5667,206.0,TURBINE,CA
CA006069K90,46.4333,-80.3167,212.0,WARREN,CA
CA006070027,49.8833,-81.5667,204.0,ABITIBI_CANYON,CA
CA006070QK6,49.3833,-82.1167,245.0,BONNER_LAKE,CA
CA006071712,49.0667,-81.0333,275.0,COCHRANE,CA
CA006072225,47.7,-79.85,243.0,EARLTON_A,CA
CA006072230,47.7,-79.85,243.0,EARLTON_CLIMATE,CA
CA006072460,52.2167,-81.6667,15.0,FORT_ALBANY,CA
CA006073138,47.45,-79.6333,189.0,HAILEYBURY,CA
CA006073420,47.8,-79.8333,222.0,HEASLIP,CA
CA006073750,47.85,-80.45,293.0,INDIAN_CHUTE,CA
CA006073810,48.75,-80.6667,259.0,IROQUOIS_FALLS,CA
CA006073840,49.5833,-81.3667,259.0,ISLAND_FALLS,CA
CA006073960,49.4,-82.4333,218.0,KAPUSKASING_CDA,CA
CA006073975,49.4167,-82.4667,227.0,KAPUSKASING_A,CA
CA006073980,49.4,-82.45,218.0,KAPUSKASING_CDA_ON,CA
CA006074209,48.15,-80.0,324.0,KIRKLAND_LAKE,CA
CA006074211,48.15,-80.0,324.0,KIRKLAND_LAKE_CS,CA
CA006075024,49.6,-83.1667,233.0,MATTICE_TCPL,CA
CA006075379,47.1167,-79.4833,183.0,MONTREAL_RIVER,CA
CA006075400,51.2333,-80.5,9.0,MOOSE_FACTORY,CA
CA006075420,51.2833,-80.6,9.0,MOOSONEE,CA
CA006075425,51.2667,-80.65,10.0,MOOSONEE_UA,CA
CA006075428,51.2833,-80.6,9.0,MOOSONEE_A,CA
CA006075431,51.2833,-80.6,9.0,MOOSONEE_AWOS,CA
CA006075435,51.3,-80.6167,9.0,MOOSONEE_RCS,CA
CA006075543,49.75,-84.1667,264.0,NAGAGAMI_AUT,CA
CA006075594,47.5,-79.6667,194.0,NEW_LISKEARD,CA
CA006076180,50.05,-85.3,189.0,PAGWA,CA
CA006076200,50.0333,-85.2667,189.0,PAGWA_A,CA
CA006076540,49.85,-81.6,232.0,PINARD,CA
CA006076572,48.4667,-81.2667,299.0,PORCUPINE_ONT_HYDRO,CA
CA006076575,48.7333,-80.8,308.0,PORQUIS_JUNCTION_A,CA
CA006077845,50.0667,-82.1667,183.0,SMOKY_FALLS,CA
CA006078280,48.5,-81.3333,335.0,TIMMINS,CA
CA006078282,48.55,-81.3833,294.0,TIMMINS_CLIMATE,CA
CA006078285,48.5667,-81.3833,295.0,TIMMINS_VICTOR_POWER_A,CA
CA006078286,48.5667,-81.3833,295.0,TIMMINS_A,CA
CA006079040,48.75,-80.5833,274.0,TWIN_FALLS,CA
CA006079415,48.35,-81.4,271.0,WAWAITIN,CA
CA006080189,45.5833,-78.55,433.0,ALGONQUIN_PARK,CA
CA006080192,45.5333,-78.2667,397.0,ALGONQUIN_PARK_EAST_GATE,CA
CA006080577,46.9833,-80.0833,294.0,BEAR_ISLAND,CA
CA006081928,46.45,-79.8667,227.0,CRYSTAL_FALLS,CA
CA006082178,45.3833,-78.9,404.0,DWIGHT,CA
CA006082612,46.1333,-80.0167,198.0,FRENCH_R_CHAUDIERE_DAM,CA
CA006084278,46.3667,-78.7333,172.0,LA_CAVE,CA
CA006084307,45.95,-78.0667,236.0,LAKE_TRAVERSE,CA
CA006084770,45.5,-77.9833,316.0,MADAWASKA,CA
CA006085682,46.3167,-79.4667,201.0,NORTH_BAY,CA
CA006085700,46.3667,-79.4167,370.0,NORTH_BAY_A,CA
CA006085701,46.3667,-79.4167,370.0,NORTH_BAY_A,CA
CA006087255,46.25,-79.0667,241.0,RUTHERGLEN,CA
CA006091718,45.95,-83.3,186.0,COCKBURN_ISLAND,CA
CA006092915,45.9167,-82.4667,191.0,GORE_BAY,CA
CA006092920,45.8833,-82.5667,189.0,GORE_BAY_CLIMATE,CA
CA006092925,45.8833,-82.5667,194.0,GORE_BAY_A,CA
CA006092930,45.8833,-82.5667,194.0,GORE_BAYAWOS,CA
CA006093005,45.6333,-82.95,183.0,GREAT_DUCK_ISLAND_AUT,CA
CA006094450,45.9333,-81.9,188.0,LITTLE_CURRENT,CA
CA006096755,45.6667,-82.2333,192.0,PROVIDENCE_BAY,CA
CA006097426,45.6833,-81.9833,231.0,SANDFIELD,CA
CA006097915,45.5833,-82.0167,182.0,SOUTH_BAYMOUTH,CA
CA006100226,45.1833,-76.2333,125.0,ALMONTE,CA
CA006100285,45.1833,-76.1167,133.0,APPLETON,CA
CA006100345,45.4167,-76.3667,107.0,ARNPRIOR_GRANDON,CA
CA006100363,45.1667,-76.0667,137.0,ASHTON_STN_SESIA_FARM,CA
CA006100398,45.1667,-74.9667,91.0,AVONMORE,CA
CA006100493,45.4167,-77.8,335.0,BARK_LAKE_DAM,CA
CA006100720,44.4833,-76.7667,146.0,BELLROCK,CA
CA006100969,44.6,-75.7,91.0,BROCKVILLE,CA
CA006100970,44.6333,-75.75,120.0,BROCKVILLE_CLIMATE,CA
CA006100971,44.6,-75.6667,96.0,BROCKVILLE_PCC,CA
CA006101250,45.15,-76.2,145.0,CARLETON_PLACE,CA
CA006101265,44.3667,-76.6167,145.0,CATARAQUI_TS,CA
CA006101335,46.05,-77.3667,122.0,CHALK_RIVER_AECL,CA
CA006101440,45.4667,-76.2333,94.0,CHATS_FALLS,CA
CA006101494,45.5833,-76.6833,84.0,CHENAUX,CA
CA006101500,45.1,-75.2333,70.0,CHESTERVILLE,CA
CA006101502,45.0167,-75.2,85.0,CHESTERVILLE_2,CA
CA006101658,45.3833,-77.15,245.0,CLONTARF,CA
CA006101820,45.3667,-77.6167,287.0,COMBERMERE,CA
CA006101872,45.0167,-74.7333,53.0,CORNWALL,CA
CA006101874,45.0167,-74.75,64.0,CORNWALL,CA
CA006101901,45.0333,-74.8,76.0,CORNWALL_ONT_HYDRO,CA
CA006101958,45.3167,-74.4667,69.0,DALHOUSIE_MILLS,CA
CA006102009,46.1833,-77.7,130.0,DES_JOACHIMS,CA
CA006102808,44.3333,-76.5,114.0,GLENBURNIE,CA
CA006102832,45.1667,-74.5333,53.0,GLEN_GORDON,CA
CA006102857,44.5667,-76.6333,160.0,GODFREY,CA
CA006102J13,45.0333,-76.25,145.0,DRUMMOND_CENTRE,CA
CA006103024,44.4167,-75.85,82.0,GRENADIER_ISLAND,CA
CA006103367,44.4333,-76.6833,160.0,HARTINGTON_IHD,CA
CA006104025,45.0,-75.6333,99.0,KEMPTVILLE,CA
CA006104027,45.0,-75.6333,99.0,KEMPTVILLE_CS,CA
CA006104125,45.5667,-77.4167,174.0,KILLALOE,CA
CA006104142,44.2167,-76.6,93.0,KINGSTON_CLIMATE,CA
CA006104146,44.2167,-76.6,92.0,KINGSTON_A,CA
CA006104153,44.2333,-76.45,107.0,KINGSTON_MARINE,CA
CA006104165,44.2667,-76.5,91.0,KINGSTON_ONT_HYDRO,CA
CA006104175,44.25,-76.4833,77.0,KINGSTON_PUMPING_STATION,CA
CA006104185,44.25,-76.5,104.0,KINGSTON_QUEENS_U,CA
CA006104725,44.5167,-76.0833,87.0,LYNDHURST_SHAWMERE,CA
CA006104882,44.45,-75.8667,84.0,MALLORYTOWN_LANDING,CA
CA006105460,44.9167,-75.1833,82.0,MORRISBURG,CA
CA006105709,45.1333,-75.7167,93.0,NORTH_GOWER,CA
CA006105760,44.9667,-76.85,251.0,OMPAH,CA
CA006105762,45.05,-76.7833,276.0,OMPAH_SEITZ,CA
CA006105887,45.4,-75.7167,72.0,OTTAWA,CA
CA006105976,45.3833,-75.7167,79.0,OTTAWA_CDA,CA
CA006105978,45.3833,-75.7167,79.0,OTTAWA_CDA_RCS,CA
CA006106000,45.3167,-75.6667,114.0,OTTAWA_MACDONALD_CARTIER_INT'L,CA
CA006106001,45.3167,-75.6667,114.0,OTTAWA_INT'L,CA
CA006106090,45.45,-75.6167,98.0,OTTAWA_NRC,CA
CA006106100,45.45,-75.6333,54.0,OTTAWA_ROCKCLIFFE_A,CA
CA006106362,45.8333,-77.15,125.0,PEMBROKE_EDDY_MATCH,CA
CA006106367,45.8667,-77.25,161.0,PEMBROKE_CLIMATE,CA
CA006106396,45.95,-77.3167,130.0,PETAWAWA_AWOS_2,CA
CA006106398,45.95,-77.3167,130.0,PETAWAWA_A,CA
CA006106400,45.9833,-77.4333,183.0,PETAWAWA_NAT_FORESTRY,CA
CA006106660,44.8833,-76.1333,130.0,PORT_ELMSLEY,CA
CA006107002,45.4833,-76.7,130.0,RENFREW,CA
CA006107003,45.4333,-76.65,127.0,RENFREW,CA
CA006107004,45.4833,-76.4333,127.0,RENFREW_SAND_POINT,CA
CA006107247,45.2667,-75.3667,76.0,RUSSELL,CA
CA006107276,45.2833,-75.0667,80.0,ST_ALBERT,CA
CA006107835,44.9,-76.0,122.0,SMITHS_FALLS_WPCP,CA
CA006107955,44.9667,-75.4833,85.0,SOUTH_MOUNTAIN,CA
CA006108060,46.15,-78.1,149.0,STONECLIFFE,CA
